token_id,token_str,count,log_count
1737, What,17603,4.245586688974214
444, E,17602,4.2455620166559624
51,R,17552,4.244326610230636
2112, along,17504,4.243137304653337
2176, certain,17499,4.2430132311496775
483,out,17482,4.242591115900052
3767,men,17455,4.241919853150198
47,N,17453,4.241870088685619
1840, above,17451,4.24182031851803
615,de,17416,4.240948416033038
12796,were,17391,4.240324555090434
1405,me,17383,4.240124730168566
1740, four,17323,4.2386231053847006
8674, sir,17294,4.237895454639604
2520,this,17277,4.237468333249569
2069, times,17261,4.237065952555404
86,u,17253,4.236864622317388
486,age,17207,4.235705158705454
4289, hundred,17198,4.235477944612951
1429, child,17159,4.234491974238988
1527, open,17141,4.234036154915847
1083, case,17135,4.233884108765886
1031,ily,17119,4.233478391931892
4817, passed,17116,4.233402277811895
958, fact,17087,4.232665819431445
336,ce,17048,4.231673436706146
14094,their,17046,4.2316224841065795
2846, city,17034,4.231316642909501
4783, gone,17033,4.231291146418349
338,if,17015,4.230831953431828
357,ab,16955,4.229297794114105
601,so,16869,4.2270893382290655
1878, least,16849,4.226574130289287
1375, state,16839,4.226316296939335
3139, itself,16781,4.22481783739504
2223, often,16749,4.223988882570092
1929, known,16708,4.222924466593083
1340, order,16689,4.222430314660491
2097, means,16658,4.221622857748789
953,its,16651,4.221440320811741
1981,ling,16597,4.220029593992445
3815, alone,16583,4.219663100737022
908, used,16583,4.219663100737022
335,ul,16486,4.217115295507684
2087, general,16472,4.216746333609975
423,end,16461,4.216456214915742
3103, therefore,16460,4.216429830876251
2281, rate,16441,4.215928229339918
3846, dead,16362,4.213836388325274
569,ations,16286,4.211814430456818
621,ions,16281,4.211681076299138
2296, says,16229,4.210291760253723
2868, believe,16218,4.209997296082369
10771, km,16216,4.209943735684952
2583, money,16213,4.209863382701547
2206, sat,16200,4.209515014542631
3524, hope,16176,4.208871138246926
1283, 18,16159,4.208414480948481
21,4,16151,4.208199417133797
1569, law,16054,4.205583258640754
3226, girl,16049,4.205447977051676
4374,Yes,16036,4.205096047578484
1373,land,16014,4.204499824171151
868,les,16008,4.204337075628155
830, form,16006,4.20428281255794
610,ry,15997,4.204038544805531
1127, point,15973,4.203386491660478
4383, English,15951,4.202787915033841
1921, reason,15947,4.2026789942277265
2712, anything,15947,4.2026789942277265
6689,she,15943,4.202570046097484
4475, wife,15930,4.202215775801132
3984, speak,15923,4.202024895104038
1067, call,15911,4.201697475739228
904,".,",15880,4.200850498091078
2119, sure,15872,4.2006316548101035
2058, At,15855,4.200166246363107
500, J,15851,4.200056665972214
6296, indeed,15800,4.198657086954423
13243,him,15799,4.198629599092019
664,we,15798,4.198602109489712
58,Y,15795,4.198519630241168
1239, read,15733,4.196811542662677
287,ro,15679,4.1953183601130135
5972, herself,15651,4.194542091442037
2806, black,15630,4.193958978019187
5767, Miss,15616,4.193569800322616
288, h,15573,4.1923722835985116
428, -,15552,4.1917862475822
468,per,15532,4.19122738187401
3220,My,15473,4.18957452553725
2698,.),15452,4.188984699472782
4013,Oh,15451,4.188956592526399
4709, fear,15450,4.188928483760853
4964, hour,15403,4.187605315418149
362, v,15331,4.18557048364222
14187, cried,15223,4.1825002473792
2168, already,15215,4.182271956694186
1353,'m,15210,4.182129214052998
9088,there,15199,4.181815014999474
1204,ism,15193,4.181643537839348
2598,So,15171,4.181014208352207
4931, perhaps,15124,4.179666668690498
294, re,15118,4.17949434100545
29272, hath,15104,4.179091976953994
3553, leave,15094,4.178804345655379
659, St,15089,4.178660458538169
1273, second,15075,4.178257320812189
1436, person,15074,4.178228510935771
641,ors,15041,4.177276711258586
420,ment,15027,4.176872286409177
1892, hard,15011,4.176409624955842
2057, either,15007,4.176293882538767
1408, run,14940,4.17435059747938
5006, boy,14908,4.173419384081802
11761, dear,14885,4.172748838982743
1849,'ve,14789,4.169938808941815
2064, That,14785,4.169821328862136
